,SMCI,NVDA,TSLA,BLDR,MRNA,LLY,PWR,KLAC
2019-06-01,19.3500003814697,40.8251914978027,14.8973331451416,16.8600006103516,14.6400003433228,103.159210205078,37.6285972595215,110.535797119141
2019-07-01,18.3099994659424,41.941349029541,16.1073322296143,17.1800003051758,13.1000003814697,101.445930480957,36.9087905883789,127.480895996094
2019-08-01,18.8999996185303,41.640567779541,15.0406665802002,19.4500007629395,15.7299995422363,105.189071655273,33.4368743896484,138.309951782227
2019-09-01,19.2000007629395,43.3141174316406,16.0580005645752,20.5799999237061,15.9200000762939,104.711326599121,37.2835845947266,149.942749023438
2019-10-01,20.6800003051758,50.0201301574707,20.9946670532227,22.6100006103516,16.75,106.696365356445,41.5195007324219,158.960922241211
2019-11-01,21.2999992370605,53.9317626953125,21.996000289917,25.4099998474121,20.3600006103516,109.879943847656,41.1146697998047,154.089813232422
2019-12-01,24.0200004577637,58.5932769775391,27.8886661529541,25.4099998474121,19.5599994659424,123.771453857422,40.196403503418,168.356903076172
2020-01-01,27.9599990844727,58.8746604919434,43.3713340759277,24.7999992370605,20.5100002288818,131.503067016602,38.7034225463867,156.611511230469
2020-02-01,25.3799991607666,67.2515411376953,44.5326652526855,22.7099990844727,25.9300003051758,118.780288696289,37.6950607299805,145.244110107422
2020-03-01,21.2800006866455,65.6796798706055,34.9333343505859,12.2299995422363,29.9500007629395,131.313781738281,31.3680629730225,136.493911743164
2020-04-01,22.8999996185303,72.8256988525391,52.1253318786621,18.3500003814697,45.9900016784668,146.383819580078,35.9452476501465,155.81803894043
2020-05-01,25.9599990844727,88.458251953125,55.6666679382324,20.8099994659424,61.5,144.78401184082,36.5680770874023,167.08967590332
2020-06-01,28.3899993896484,94.6599502563477,71.9873352050781,20.7000007629395,64.2099990844727,156.146102905273,38.8455238342285,185.568450927734
2020-07-01,30.3099994659424,105.840896606445,95.3840026855469,23.6900005340576,74.0999984741211,142.935791015625,39.6289329528809,190.67333984375
2020-08-01,27.3899993896484,133.358703613281,166.106674194336,30.6200008392334,64.8899993896484,141.128784179688,50.8126678466797,195.739990234375
2020-09-01,26.3999996185303,134.914138793945,143.003326416016,32.6199989318848,70.75,141.463119506836,52.4089241027832,185.658218383789
2020-10-01,22.7199993133545,125.015335083008,129.346664428711,30.2999992370605,67.4700012207031,124.680961608887,61.9560012817383,188.954711914062
2020-11-01,28.2099990844727,133.667877197266,189.199996948242,37.4099998474121,152.740005493164,139.198059082031,67.8211288452148,241.459167480469
2020-12-01,31.6599998474121,130.211853027344,235.223327636719,40.810001373291,104.470001220703,162.18994140625,71.4731979370117,249.07063293457
2021-01-01,31,129.599304199219,264.510009765625,38.25,173.160003662109,199.778732299805,69.9939956665039,269.426574707031
2021-02-01,32.6300010681152,136.830200195312,225.16667175293,43.2700004577637,154.809997558594,196.820037841797,83.2836074829102,299.40234375
2021-03-01,39.060001373291,133.176086425781,222.643325805664,46.3699989318848,130.949996948242,180.211196899414,87.3857269287109,318.712219238281
2021-04-01,37.0200004577637,149.802139282227,236.479995727539,48.6699981689453,178.820007324219,176.304473876953,95.9872055053711,304.194641113281
2021-05-01,34.7400016784668,162.128036499023,208.406661987305,44.5400009155273,185.009994506836,192.674163818359,94.7696990966797,305.680145263672
2021-06-01,35.1800003051758,199.634689331055,226.566665649414,42.6599998474121,234.979995727539,222.379058837891,90.0188064575195,313.692565917969
2021-07-01,38.0400009155273,194.654159545898,229.066665649414,44.5,353.600006103516,235.924102783203,90.4065856933594,336.865631103516
2021-08-01,36.5400009155273,223.464447021484,245.240005493164,53.2900009155273,376.690002441406,250.253982543945,101.545791625977,328.931610107422
2021-09-01,36.5699996948242,206.839660644531,258.493347167969,51.7400016784668,384.859985351562,224.584259033203,113.202178955078,324.696228027344
2021-10-01,35.3899993896484,255.274642944336,371.333343505859,58.2700004577637,345.209991455078,247.630767822266,120.684173583984,361.824096679688
2021-11-01,41.4000015258789,326.254730224609,381.586669921875,69.4400024414062,352.429992675781,241.098831176758,113.221008300781,396.156402587891
2021-12-01,43.9500007629395,293.655181884766,352.260009765625,85.7099990844727,253.979995727539,269.362060546875,114.096710205078,418.556213378906
2022-01-01,40.5200004577637,244.511276245117,312.239990234375,67.9899978637695,169.330001831055,239.297485351562,102.215362548828,378.813293457031
2022-02-01,39.2900009155273,243.502716064453,290.143341064453,74.4199981689453,153.600006103516,243.744262695312,108.471031188965,339.138488769531
2022-03-01,38.0699996948242,272.471343994141,359.200012207031,64.5400009155273,172.259994506836,280.425750732422,131.043426513672,357.189117431641
2022-04-01,42.0999984741211,185.237411499023,290.253326416016,61.5699996948242,134.410003662109,286.066192626953,115.48072052002,311.523284912109
2022-05-01,50.060001373291,186.485855102539,252.753326416016,65.0899963378906,145.330001831055,306.933929443359,118.550422668457,356.008483886719
2022-06-01,40.3499984741211,151.399887084961,224.473327636719,53.7000007629395,142.850006103516,318.56982421875,124.86646270752,312.386901855469
2022-07-01,54.0099983215332,181.440567016602,297.149993896484,68,164.089996337891,323.934509277344,138.286697387695,375.494842529297
2022-08-01,65.0800018310547,150.782577514648,275.609985351562,58.6100006103516,132.270004272461,295.971405029297,140.848480224609,336.911468505859
2022-09-01,55.0699996948242,121.263389587402,265.25,58.9199981689453,118.25,318.742370605469,126.982940673828,297.318908691406
2022-10-01,69.5899963378906,134.86930847168,227.539993286133,61.6599998474121,150.330001831055,356.930358886719,141.663635253906,310.896362304688
2022-11-01,90.2300033569336,169.103744506836,194.699996948242,63.9300003051758,175.910003662109,365.792236328125,149.482879638672,386.250305175781
2022-12-01,82.0999984741211,146.068328857422,123.180000305176,64.879997253418,179.619995117188,361.632843017578,142.122421264648,371.684112548828
2023-01-01,72.3300018310547,195.274215698242,173.220001220703,79.6999969482422,176.059997558594,340.192321777344,151.871887207031,386.9150390625
2023-02-01,97.9700012207031,232.046142578125,205.710006713867,84.7799987792969,138.809997558594,307.640991210938,161.062652587891,374.000762939453
2023-03-01,106.550003051758,277.633758544922,207.460006713867,88.7799987792969,153.580001831055,340.569030761719,166.291687011719,394.781341552734
2023-04-01,105.430000305176,277.401031494141,164.309997558594,94.7699966430664,132.889999389648,392.573669433594,169.285415649414,382.290161132812
2023-05-01,223.949996948242,378.218688964844,203.929992675781,115.949996948242,127.709999084473,425.894714355469,177.29753112793,438.119506835938
2023-06-01,249.25,422.884338378906,261.769989013672,136,121.5,466.296447753906,196.137512207031,481.306121826172
2023-07-01,330.269989013672,467.188537597656,267.429992675781,144.429992675781,117.660003662109,451.949005126953,201.381958007812,510.0146484375
2023-08-01,275.079986572266,493.442779541016,258.079986572266,145.039993286133,113.069999694824,551.028747558594,209.622222900391,498.027099609375
2023-09-01,274.220001220703,434.8955078125,250.220001220703,124.48999786377,103.290000915527,535.201293945312,186.849136352539,456.386657714844
2023-10-01,239.470001220703,407.744995117188,200.839996337891,108.519996643066,75.9599990844727,551.94091796875,166.993392944336,467.371948242188
2023-11-01,273.470001220703,467.636962890625,240.080001831055,134.110000610352,77.6999969482422,588.917663574219,188.167343139648,541.920593261719
2023-12-01,284.260009765625,495.153228759766,248.479995727539,166.940002441406,99.4499969482422,581.900024414062,215.636520385742,580.010864257812
2024-01-01,529.609985351562,615.241149902344,187.289993286133,173.729995727539,101.050003051758,644.480346679688,193.983642578125,592.722595214844
2024-02-01,866.119995117188,791.082885742188,201.880004882812,195.179992675781,92.2399978637695,752.361267089844,241.42741394043,680.786865234375
2024-03-01,1010.03002929688,903.517639160156,175.789993286133,208.550003051758,106.559997558594,777.960021972656,259.711151123047,698.570007324219
2024-04-01,858.799987792969,864.02001953125,183.279998779297,182.820007324219,110.309997558594,781.099975585938,258.471588134766,689.289978027344
2024-05-01,762.52001953125,858.169982910156,180.009994506836,188.740005493164,125.589996337891,755.909973144531,255,682.049987792969
2024-05-03,782.700012207031,887.830017089844,181.139999389648,195.809997558594,125,734.969970703125,256.329986572266,696.590026855469
